from,to
1046252,432405
1046252,371862
1046252,496840
1046252,642205
1046252,699706
1046252,988002
1046252,701313
1046252,832051
1046316,202530
1046316,573369
1046316,1079596
1046437,253300
1046598,232132
1046598,577199
1046598,668368
1046598,750108
1046598,581794
1046598,685545
1046598,17664
1046598,1162755
1046598,228041
1046809,17187
1046977,992323
1047362,399105
1047362,956530
1047621,699627
1047621,872979
1047719,878639
1047719,843335
1047719,485692
1047719,465608
1047719,155638
1048048,136208
1048683,1112948
1048695,847352
1048695,388933
1048695,1073209
1048731,982222
1048731,963767
1048731,864068
1048851,253433
1048851,240350
1048851,638924
1048851,903885
1048851,127049
1048851,386776
1048927,286024
1049077,325070
1049077,1061310
1049115,296684
1049115,675810
1049237,857856
1049473,34776
104957,884911
104957,1166930
104957,297154
1049711,798275
1049711,786492
1049865,687676
1049865,116926
1049865,633911
1049865,332140
1049865,550295
1049865,441637
105000,923365
105000,948375
105004,169407
105004,1073209
105004,959414
1050061,396572
1050094,1062222
1050094,528177
1050094,541955
1050094,1089707
1050094,985829
1050126,843335
1050126,269410
1050126,456002
1050126,833782
1050126,559943
1050126,380040
1050126,92378
1050159,437949
1050159,498258
1050159,174567
1050159,549259
1050159,273947
1050168,87919
1050168,47423
1050168,572053
1050201,906050
1050201,923637
1050201,841661
1050201,1062222
1050201,114983
1050201,688489
1050201,1139891
1050201,582443
1050233,968336
1050233,848587
1050371,689099
1050371,320081
1050509,1023400
1050518,680919
1050525,96375
1050736,221724
1050871,1094415
1050922,595066
1050922,599392
1050922,771352
1050922,452623
1051256,815697
1051256,633963
1051256,483361
1051322,435435
1051322,1166930
1051363,712726
1051363,582463
1051363,953579
1051363,490140
1051577,689389
1051896,76669
1051896,438653
1051969,656820
1051969,442303
1052000,716843
1052033,1152927
1052033,904708
1052033,273513
1052033,83795
1052033,899687
1052033,284787
1052033,911823
1052033,596863
1052033,494043
1052033,234111
1052033,95291
1052033,875802
1052034,56973
1052034,306253
1052034,772795
1052059,501160
1052169,93379
1052169,430212
1052210,707836
1052392,712726
1052392,168402
1052392,1133682
1052392,1043395
1052392,781715
1052392,187827
1052392,306031
1052392,976522
1052392,679966
1052392,1145774
1052392,206379
1052392,855817
1052392,1037679
1052392,396570
1052392,114983
1052393,322266
1052393,654963
1052437,792783
1052437,379014
1052450,368550
1052450,394823
1052450,815802
1052450,873983
1052480,804943
1052480,547291
1052708,165675
1052708,740793
1052764,389395
1052865,518429
1052865,200753
1052865,1162850
1053010,959092
1053061,4179
1053061,1149283
1053061,39047
1053061,803946
1053061,1054432
1053061,683124
1053061,843335
1053061,848909
1053061,630825
1053061,600955
1053061,316702
1053061,1044597
1053061,386827
1053061,554382
1053086,642205
1053086,206316
1053086,1149219
1053086,878788
1053104,394441
1053104,489316
1053104,1114375
1053117,1103455
1053141,232345
1053208,595515
1053289,1108760
1053289,396491
1053289,738846
1053289,138387
1053289,214783
1053354,1118769
1053354,120691
1053400,137719
1053400,773518
1053487,849987
1053487,591888
1053588,37907
1053588,745790
1053604,33605
1053604,603820
1053604,35750
1053604,920082
1053604,877141
1053604,617186
1053604,411589
1053604,282454
1053866,479851
1053922,762374
1053922,253885
105411,766948
1054121,1062728
1054225,360740
1054225,847352
1054225,897168
1054307,1086501
1054385,1054385
1054432,1007669
1054432,386827
1054432,4179
1054616,12743
1054616,848587
1054616,1013274
1054616,931226
1054616,937884
1054659,729565
1054928,204645
105528,222620
1055684,981303
1055916,1066078
1055916,706907
1055997,993795
1055997,798275
1055997,1049711
1056030,475904
1056030,324608
1056030,544207
1056030,1058287
1056030,739312
1056030,404351
1056164,378958
1056164,610314
1056164,871457
1056172,30582
1056172,774131
1056172,818368
1056172,460523
1056172,383644
1056172,122244
1056172,267748
1056172,151444
1056172,468221
1056172,461797
1056172,597791
1056172,781217
1056172,701740
1056172,629589
1056172,280525
1056172,106000
1056172,27626
1056172,671302
1056172,834374
1056172,403156
1056172,483286
1056172,519106
1056504,743895
1056504,338407
1056504,381980
1056504,417166
1056504,1017699
1056504,1143293
1056525,1053061
1056719,528177
1056719,1062222
1056719,27781
1056719,1021132
1056719,168402
1056719,1149283
1056719,502005
1056719,678609
1056719,391943
1056719,230202
1056719,29777
1056725,328082
1056725,235377
1056813,1166055
105682,381018
105682,339478
105682,1151246
105682,828494
105682,843335
1056992,386402
1056994,400807
1056994,879246
1056994,1150054
1057,452050
1057,444675
1057,4360
1057077,954823
1057077,240350
1057077,334720
10571,522733
10571,986812
1057134,103646
1057134,207552
105720,639972
105720,106457
105720,1012876
1057226,934144
1057226,982186
1057226,184986
1057259,1010090
1057259,667900
1057259,901643
1057259,798878
1057259,382996
1057259,563388
1057259,199094
1057259,251781
1057259,274989
1057259,299660
1057259,23705
1057259,239083
1057259,928605
1057259,228676
1057259,734152
1057259,49174
1057259,1072048
1057259,679599
1057259,1115765
1057408,384846
1057517,225136
1057710,629862
1057806,168402
1057806,104608
1057806,738237
1057806,1135613
1057929,42645
1057929,699706
1057929,371727
1057929,168402
1058050,38867
1058281,1133793
1058281,1125194
1058281,1144115
1058287,797925
1058287,300376
1058287,731382
1058287,353930
1058287,1080006
1058287,294215
1058335,142823
1058417,691221
1058417,17197
1058417,872985
1058417,830747
1058417,957691
1058417,522354
1058559,554382
1058559,884503
1058559,214273
105874,413046
1058807,370281
1058807,408346
1058807,981849
1058807,909773
1058807,603084
1058957,5897
1058995,1009682
1059054,1059054
1059083,33605
1059083,363039
1059083,843335
1059083,386776
1059108,567178
1059208,907042
1059208,886494
1059208,834278
1059307,13751
1059358,694611
1059358,126443
1059392,140930
1059392,1107022
1059392,1094217
1059392,165651
1059392,213663
1059392,550317
1059392,1005262
1059392,718634
1059392,1088876
1059392,229690
1059392,193419
1059392,613749
1059392,348738
1059392,875887
1059424,771352
1059669,1052169
1059881,279569
1060173,386827
1060173,192823
1060173,79674
1060562,892536
1060562,1082884
1060562,924426
1060562,536449
1060562,60241
1060773,211639
1060803,33932
1060803,373694
1060876,16816
1060876,909147
1060876,626189
1060876,1106632
1060876,1166711
1061022,287217
1061031,1089707
1061055,466412
1061055,143239
1061055,187827
1061310,916459
1061310,654237
1061310,656334
1061373,119440
1061373,657192
1061373,102093
1061699,920949
1061699,371158
1061699,444881
1061699,1161753
1061699,757243
1061699,1065126
1061770,778288
1061850,787287
1061928,153589
1061928,146011
1062141,564605
1062178,885102
1062178,168402
1062178,1085509
1062178,1011854
1062178,220970
1062222,604828
1062222,1113582
1062222,1005176
1062222,420274
1062222,508207
1062222,410842
1062222,309747
1062222,95099
1062222,867473
1062222,837923
1062222,471407
1062222,42645
1062222,1149283
1062222,862159
1062222,386870
1062222,386402
1062222,230202
1062222,786918
1062222,679966
1062222,168402
1062222,13751
1062222,27781
1062222,432906
1062222,290017
1062222,49252
1062222,528177
1062222,551298
1062222,531413
