name_q,name_u,views
Abdul_Hadi_Awang,Abdul_Hadi_Awang,9815.0
Abdul_Hafeez_Pirzada,Abdul_Hafeez_Pirzada,60.0
Abdul_Hakeem_Khan,Abdul_Hakeem_Khan,685.0
Abdul_Halim_Khaddam,Abdul_Halim_Khaddam,15392.0
Abdul_Hamid_Khan_Bhashani,Abdul_Hamid_Khan_Bhashani,74.0
Abdul_Haq_%28Afghan_leader%29,Abdul_Haq_(Afghan_leader),5769.0
Abdul_Haris_Nasution,Abdul_Haris_Nasution,8547.0
Abdul_Jabbar_Khan,Abdul_Jabbar_Khan,1875.0
Abdul_Kadir_Yusuf,Abdul_Kadir_Yusuf,1834.0
Abdul_Malik_Pahlawan,Abdul_Malik_Pahlawan,92.0
Abdul_Mannan_Bhuiyan,Abdul_Mannan_Bhuiyan,1017.0
Abdul_Qadir_%28Afghan_leader%29,Abdul_Qadir_(Afghan_leader),4186.0
Abdul_Qadir_Bajamal,Abdul_Qadir_Bajamal,2424.0
Abdul_Qayyum_Khan,Abdul_Qayyum_Khan,4588.0
Abdul_Rahim_Wardak,Abdul_Rahim_Wardak,6793.0
Abdul_Rahman_%28Afghan_minister%29,Abdul_Rahman_(Afghan_minister),1462.0
Abdul_Rahman_Arif,Abdul_Rahman_Arif,20215.0
Abdul_Rahman_Ghassemlou,Abdul_Rahman_Ghassemlou,2841.0
Abdul_Rahman_Khleifawi,Abdul_Rahman_Khleifawi,88.0
Abdul_Rahman_Mustafa,Abdul_Rahman_Mustafa,1508.0
Abdul_Rahman_Ya%27kub,Abdul_Rahman_Ya'kub,2876.0
Abdul_Rahman_bin_Faisal,Abdul_Rahman_bin_Faisal,4565.0
Abdul_Rashid_Dostum,Abdul_Rashid_Dostum,48014.0
Abdul_Rasul_Sayyaf,Abdul_Rasul_Sayyaf,15563.0
Abdul_Rauf_al-Kasm,Abdul_Rauf_al-Kasm,812.0
Abdul_Razak_Hussein,Abdul_Razak_Hussein,285.0
Abdul_Salam_Arif,Abdul_Salam_Arif,15688.0
Abdul_Salam_Zaeef,Abdul_Salam_Zaeef,3758.0
Abdul_Samad_Khan_Achakzai,Abdul_Samad_Khan_Achakzai,730.0
Abdul_Sattar_Abu_Risha,Abdul_Sattar_Abu_Risha,10463.0
Abdul_Serry-Kamal,Abdul_Serry-Kamal,1153.0
Abdul_Taib_Mahmud,Abdul_Taib_Mahmud,19871.0
Abdul_Wahab_Khan,Abdul_Wahab_Khan,1560.0
Abdullah_%C3%96calan,Abdullah_Öcalan,64032.0
Abdullah_Abdurahman,Abdullah_Abdurahman,1944.0
Abdullah_Ahmad_Badawi,Abdullah_Ahmad_Badawi,175167.0
Abdullah_G%C3%BCl,Abdullah_Gül,78817.0
Abdullah_Haroon,Abdullah_Haroon,4305.0
Abdullah_Tarmugi,Abdullah_Tarmugi,7425.0
Abdullah_Wardak,Abdullah_Wardak,5934.0
