name_u,views
Sheikh_Waqas_Akram,7198.0
Shuli_Mualem,4356.0
Shyama_Singh,3461.0
Sigrid_Utkilen,634.0
Silvia_Modig,2571.0
Slavica_Đukić_Dejanović,10397.0
Sokol_Olldashi,3041.0
Stanisław_Kostka_Potocki,6023.0
Stephanie_Miner,12083.0
Stephen_F._Chadwick,3017.0
Steve_Beshear,52661.0
Steve_Chia,4697.0
Steven_Sim,5187.0
Subramaniam_Sathasivam,24452.0
Sunil_Tatkare,9391.0
Sushmita_Dev,13168.0
Syed_Ali_Shah_Geelani,161357.0
Sylvia_Lucas,6883.0
T._Jeevan_Reddy,6861.0
T._K._Divakaran,1810.0
Tadeusz_Wita,589.0
Tan_Yankai,9807.0
Tarun_Gogoi,90621.0
Tatsuo_Murayama,1283.0
Tawi_Sli,4547.0
Taylor_W._O'Hearn,1588.0
Teodor_Teodorov,2310.0
Teodoro_Lonfernini,1079.0
Teresa_Surita,1227.0
Thawan_Thamrongnawasawat,9923.0
Thomas_Alexander_Marshall,1595.0
Thomas_B._Stanley,6294.0
Thomas_Brackett_Reed,29842.0
Thomas_Clausen_(Louisiana),1651.0
Thomas_Ravenel,320822.0
Thomas_Starr_King,17391.0
Timothy_Villagomez,2841.0
Tina_Molinari,1111.0
Tiririca,17354.0
Todd_Rokita,27328.0
Tofazzal_Hossain_Manik_Miah,3971.0
Tofilau_Eti_Alesana,5154.0
Tom_Bradley_(American_politician),116335.0
Tom_Horne,11317.0
Tom_Tauke,4133.0
Toni_Abela,4183.0
Toni_Atkins,27157.0
Toni_Preckwinkle,27596.0
Tony_Dreyfus,1126.0
Tunji_Olurin,6209.0
U_Razak,4959.0
Ulrik_Frederik_Cappelen,895.0
Uzi_Baram,3358.0
V._J._Sukselainen,2872.0
Vaiko,140848.0
Vakha_Arsanov,4959.0
Vasile_Stati,1585.0
Ved_Prakash_Goyal,16179.0
Vicente_Riva_Palacio,7701.0
Vicki_Berger,2034.0
Victoria_Hernandez-Reyes,2183.0
Vida_Goldstein,21480.0
Vijayashanti,265654.0
Viktor_Baloha,3365.0
Viktor_Dyk,4022.0
Vilja_Toomast,1870.0
Volodymyr_Ohryzko,3184.0
Vyacheslav_Kyrylenko,4306.0
W._D._Childers,2304.0
Walter_E._Fauntroy,30028.0
Walter_Kreiser,1199.0
Walter_Patrick_Twinn,2374.0
Wee_Choo_Keong,6838.0
Wendy_Alexander,13629.0
Wenxiang,2243.0
Wijeyananda_Dahanayake,5962.0
Wilfred_Elrington,3732.0
Wilfred_de_Souza,4612.0
Wilhelm_von_Bismarck,19536.0
William_Bennett_(English_politician),1123.0
William_Gopallawa,17061.0
William_K._Bond,1921.0
William_Kennard,6836.0
William_Stephens_Smith,49425.0
Wilson_Frost,1510.0
Wilson_Hungerford,1222.0
Wojciech_Olejniczak,2786.0
Wong_Ting-kwong,2995.0
Wu_Huawen,1493.0
Xie_Xide,4927.0
Ya'akov_Frank,610.0
Yan_Gamarnik,4075.0
Yang_Bin,4468.0
Yang_Ti-liang,6671.0
Yukari_Sato,2317.0
Yvette_Alexander,12052.0
Yvette_Clarke,48144.0
Zeng_Gong,5552.0
Zhang_Jian_(politician),4146.0
Zhang_Zhijun,7326.0
Ștefan_Baciu,4244.0
A._Walter_Norblad,2495.0
Aasia_Ishaque,3918.0
Abbas-Ali_Amid_Zanjani,2885.0
Abdel_Hakim_Amer,27711.0
Abdolreza_Mesri,1421.0
Abu_Hena,2523.0
Abu_Nasar_Khan_Choudhury,2064.0
Adam_Kwasman,2959.0
Adamee_Komoartok,734.0
Adolfo_Canepa,5339.0
Adrien_Pressemane,539.0
Agha_Shahi,11629.0
Ahti_Pekkala,1233.0
Alain_Destexhe,3002.0
Alberto_Selva,2813.0
Alessia_Mosca,2024.0
Alex_Boraine,4908.0
Alexander_Shlyakhturov,3182.0
Alexandru_Macedonski,9615.0
Alfred_Wellington_Carter,1726.0
Almeida_Garrett,19519.0
Alwyn_Machen,1465.0
Amir_Sjarifuddin,12728.0
Ana_Rivas_Logan,4338.0
Anastasia_Pittman,6021.0
Andrej_Falkh,749.0
Andrew_To,2586.0
Angela_Giron,3862.0
Angelica_Jones,11746.0
Ann_Itto_Leonardo,730.0
Anna_Záborská,2073.0
Anne_Sophie_Hunstad,757.0
Annemie_Neyts-Uyttebroeck,3107.0
Annette_Quijano,3506.0
Anthony_Onyearugbulem,3151.0
Antonio_Villaraigosa,195834.0
Anwar_Sadat,491669.0
Artashes_Geghamyan,1782.0
Arthur_Fong,3137.0
Arthur_W._Mitchell,6765.0
Arvid_Olsson,742.0
Arvind_Kumar_Sharma,6195.0
Ashok_Parnami,4288.0
Atish_Chandra_Sinha,2623.0
Aurora_Enerio-Cerilles,1763.0
B._D._Amis,1515.0
B._Munuswamy_Naidu,5850.0
Barbara_Hafer,9323.0
Barbara_Norton,6788.0
Ben_Cannon,3086.0
Ben_Davidson_(politician),3087.0
Benjamin_Poponawa,827.0
Benjamin_Spock,169512.0
Bernard_C._Parks,14289.0
Bert_Maertens,970.0
Bill_Anoatubby,10545.0
Bill_Campbell_(mayor),27849.0
Bill_Ferguson_(politician),5726.0
Bill_Kennemer,2200.0
Bill_Sizemore,4874.0
Birgitta_Ohlsson,5043.0
Blas_Roca_Calderio,18353.0
Boni_Haruna,3974.0
Borka_Vučić,3337.0
Brad_Sherman,46441.0
Brian_Maginess,1857.0
Bruce_Sundlun,20669.0
C._Farris_Bryant,8336.0
Camille_Gravel,4311.0
Carin_Jämtin,6093.0
Carl_Christian_Hall,3372.0
Carl_Sibbern,581.0
Carlo_Bon_Compagni_di_Mombello,2121.0
Carol_Liu,11259.0
Cathal_Goulding,17295.0
Cerge_Remonde,2726.0
Chandrapal_Singh_Yadav,9531.0
Chang_Chun-hsiung,5542.0
Chang_Wen-ing,1264.0
Charlene_Drew_Jarvis,9791.0
Charles_Chauvel_(politician),4555.0
Charles_Coghlan_(politician),5356.0
Charles_F._Ogden,1062.0
Charles_Hamlin_(general),4002.0
Charles_Henry_Wilson_(Conservative_politician),882.0
Charles_J._McCarthy,3469.0
Charles_Ridgely_II,2107.0
Charles_Rosenthal,3563.0
Charmaine_Tavares,2172.0
Chester_Brown,22460.0
Chester_C._Thompson,1177.0
Choo_Wee_Khiang,3703.0
Choudhry_Rahmat_Ali,74681.0
Chris_Pappas_(politician),6766.0
Chris_Redfern,4083.0
Chris_van_der_Klaauw,2256.0
Christian_Tybring-Gjedde,4946.0
Christoph_Blocher,19379.0
Christopher_St_George,846.0
Christos_Verelis,1333.0
Chu_Minyi,2583.0
Claude_Jeannerot,1360.0
Colette_Le_Moal,628.0
Curren_Price,7310.0
Dale_Jackaman,1591.0
Damodaram_Sanjivayya,19466.0
Daniel_J._Ronan,2155.0
Daniel_Mora,2376.0
Dannel_Malloy,110401.0
David_Cullinane,8453.0
David_Hunter_(New_South_Wales_politician),1201.0
David_L._Cornwell,3813.0
David_Li,13442.0
David_Mellor,62444.0
David_Rachline,5239.0
David_Wijnkoop,1746.0
Davis_Filfred,1504.0
Dehra_Parker,2103.0
Demba_Diop,1861.0
Djemal_Pasha,43054.0
Domitien_Ndayizeye,8561.0
Don_W._Williamson,2463.0
Dorgon,43004.0
Duncan_Gillies,3126.0
Eamon_Ryan,21698.0
Ed_Nijpels,3404.0
Eddie_McAteer,3700.0
Edgar_Tekere,17048.0
Edward_Douglass_White,57180.0
Edward_Junius_Black,1529.0
Edward_Robeson_Taylor,3605.0
Edward_T._Begay,1003.0
Edward_Wojtas,1134.0
Eleanor_Sobel,5297.0
Elie_Hobeika,37022.0
"Emma_Nicholson,_Baroness_Nicholson_of_Winterbourne",18830.0
Enrique_Ona,5921.0
Erhard_Krack,2586.0
Eri_Tokunaga,1215.0
Erminio_Sipari,899.0
Ernest_Bai_Koroma,55987.0
Erwin_Sellering,7864.0
Eskil_Pedersen,7149.0
Eugen_Bircher,3006.0
Evan_E._Settle,1052.0
Fabrizio_Moreira,3571.0
Faras_Hamdan,1208.0
Filomena_Tassi,4071.0
Foua_Toloa,2729.0
Francesc_Layret,1073.0
Francisco_S._Carvajal,17656.0
Franco_Frigo,1113.0
Franco_Parisi,4804.0
Frank_Heemskerk,2513.0
Frank_J._Brasco,2529.0
Frans_Grootjans,1187.0
Frans_Weekers,2867.0
Fred_Riebeling,1661.0
Frederick_Fung,4274.0
Frederick_McDonald,5490.0
Friedhelm_Frischenschlager,1630.0
Fritz_Kuhn,8535.0
Gabriela_Arroyo,1041.0
Gebru_Asrat,4635.0
George_Gollan,823.0
George_H._W._Bush,5526050.0
George_Sutherland,25635.0
George_W._Jones,6380.0
Georges_Cogniot,1066.0
Georgios_Kafantaris,3260.0
Gianfranco_Fini,21578.0
Gopal_Goyal_Kanda,38655.0
Gregory_So,6395.0
Guan_Linzheng,3868.0
Guia_Gomez,12586.0
Guilherme_Leal,2258.0
Gul_Haidar,1147.0
Gulan_Avci,2394.0
Guy_Delcourt_(politician),812.0
Guy_Spitaels,4727.0
H._D._Kumaraswamy,147681.0
Hamilton_Fish_II,5002.0
Han_Polman,2263.0
Hanne_Bjurstrøm,1785.0
Harin_Pathak,6145.0
Harold_Nicolson,48414.0
Harvey_Milk,889213.0
Heinz_Kessler,14304.0
Heinz_Rutha,2238.0
Hella_Wuolijoki,8093.0
Helmin_Wiels,5179.0
Henry_Harvey_Vivian,1473.0
Henry_Morris-Jones,1776.0
Hilgard_Muller,2285.0
Hu_Lancheng,4137.0
Hugh_Poulin,1025.0
Hugo_Blaschke,21897.0
Hussein_Kamel_al-Majid,60827.0
Ibikunle_Amosun,18929.0
Ilmari_Auer,959.0
