file,size
pagecounts-20100120-210000.gz,63.0
pagecounts-20100120-220000.gz,61.0
pagecounts-20100120-230001.gz,63.0
pagecounts-20100121-000000.gz,60.0
pagecounts-20100121-010000.gz,64.0
pagecounts-20100121-020000.gz,61.0
pagecounts-20100121-030000.gz,60.0
pagecounts-20100121-040000.gz,60.0
pagecounts-20100121-050000.gz,59.0
pagecounts-20100121-060000.gz,59.0
pagecounts-20100121-070000.gz,61.0
pagecounts-20100121-080000.gz,64.0
pagecounts-20100121-090000.gz,68.0
pagecounts-20100121-100001.gz,71.0
pagecounts-20100121-110000.gz,73.0
pagecounts-20100121-120000.gz,74.0
pagecounts-20100121-130000.gz,68.0
pagecounts-20100121-140000.gz,67.0
pagecounts-20100121-150000.gz,65.0
pagecounts-20100121-160000.gz,65.0
pagecounts-20100121-170000.gz,63.0
pagecounts-20100121-180001.gz,62.0
pagecounts-20100121-190000.gz,62.0
pagecounts-20100121-200000.gz,61.0
pagecounts-20100121-210000.gz,60.0
pagecounts-20100121-220000.gz,61.0
pagecounts-20100121-230000.gz,62.0
pagecounts-20100122-000000.gz,60.0
pagecounts-20100122-010000.gz,62.0
pagecounts-20100122-020000.gz,60.0
pagecounts-20100122-030000.gz,60.0
pagecounts-20100122-040001.gz,60.0
pagecounts-20100122-050000.gz,58.0
pagecounts-20100122-060000.gz,58.0
pagecounts-20100122-070000.gz,60.0
pagecounts-20100122-080000.gz,65.0
pagecounts-20100122-090000.gz,71.0
pagecounts-20100122-100000.gz,72.0
pagecounts-20100122-110000.gz,73.0
pagecounts-20100122-120000.gz,72.0
pagecounts-20100122-130000.gz,68.0
pagecounts-20100122-140001.gz,68.0
pagecounts-20100122-150000.gz,68.0
pagecounts-20100122-160000.gz,68.0
pagecounts-20100122-170000.gz,68.0
pagecounts-20100122-180000.gz,68.0
pagecounts-20100122-190000.gz,66.0
pagecounts-20100122-200000.gz,67.0
pagecounts-20100122-210000.gz,67.0
pagecounts-20100122-220000.gz,68.0
pagecounts-20100122-230001.gz,67.0
pagecounts-20100123-000000.gz,64.0
pagecounts-20100123-010000.gz,65.0
pagecounts-20100125-000000.gz,46.0
pagecounts-20100125-010000.gz,67.0
pagecounts-20100125-020000.gz,66.0
pagecounts-20100125-030000.gz,64.0
pagecounts-20100125-040000.gz,63.0
pagecounts-20100125-050000.gz,62.0
pagecounts-20100125-060000.gz,63.0
pagecounts-20100125-070000.gz,63.0
pagecounts-20100125-080000.gz,69.0
pagecounts-20100125-090000.gz,72.0
pagecounts-20100125-100001.gz,74.0
pagecounts-20100125-110000.gz,76.0
pagecounts-20100125-120000.gz,77.0
pagecounts-20100125-130000.gz,69.0
pagecounts-20100125-140000.gz,68.0
pagecounts-20100125-150000.gz,65.0
pagecounts-20100125-160000.gz,65.0
pagecounts-20100125-170000.gz,64.0
pagecounts-20100125-180000.gz,64.0
pagecounts-20100125-190000.gz,64.0
pagecounts-20100125-200001.gz,61.0
pagecounts-20100125-210000.gz,59.0
pagecounts-20100125-220000.gz,63.0
pagecounts-20100125-230000.gz,69.0
pagecounts-20100126-000000.gz,65.0
pagecounts-20100126-010000.gz,66.0
pagecounts-20100126-020000.gz,66.0
pagecounts-20100126-030000.gz,66.0
pagecounts-20100126-040001.gz,65.0
pagecounts-20100126-050000.gz,63.0
pagecounts-20100126-060000.gz,62.0
pagecounts-20100126-070000.gz,63.0
pagecounts-20100126-080000.gz,67.0
pagecounts-20100126-090000.gz,70.0
pagecounts-20100126-100000.gz,74.0
pagecounts-20100126-110000.gz,75.0
pagecounts-20100126-120000.gz,76.0
pagecounts-20100126-130000.gz,72.0
pagecounts-20100126-140000.gz,70.0
pagecounts-20100126-150001.gz,68.0
pagecounts-20100126-160000.gz,68.0
pagecounts-20100126-170000.gz,68.0
pagecounts-20100126-180000.gz,67.0
pagecounts-20100126-190000.gz,66.0
pagecounts-20100126-200000.gz,65.0
pagecounts-20100126-210000.gz,65.0
pagecounts-20100126-220000.gz,66.0
pagecounts-20100126-230000.gz,67.0
pagecounts-20100127-000001.gz,65.0
pagecounts-20100127-010000.gz,67.0
pagecounts-20100127-020000.gz,64.0
pagecounts-20100127-030000.gz,64.0
pagecounts-20100127-040000.gz,62.0
pagecounts-20100127-050000.gz,62.0
pagecounts-20100127-060000.gz,62.0
pagecounts-20100127-070000.gz,65.0
pagecounts-20100127-080000.gz,67.0
pagecounts-20100127-090000.gz,72.0
pagecounts-20100127-100001.gz,73.0
pagecounts-20100127-110000.gz,75.0
pagecounts-20100127-120000.gz,76.0
pagecounts-20100127-130000.gz,72.0
pagecounts-20100127-140000.gz,69.0
pagecounts-20100127-150000.gz,67.0
pagecounts-20100127-160000.gz,67.0
pagecounts-20100127-170000.gz,66.0
pagecounts-20100127-180000.gz,65.0
pagecounts-20100127-190000.gz,65.0
pagecounts-20100127-200001.gz,64.0
pagecounts-20100127-210000.gz,64.0
pagecounts-20100127-220000.gz,65.0
pagecounts-20100127-230000.gz,66.0
pagecounts-20100128-000000.gz,64.0
pagecounts-20100128-010000.gz,67.0
pagecounts-20100128-020000.gz,65.0
pagecounts-20100128-030000.gz,55.0
pagecounts-20100128-040000.gz,51.0
pagecounts-20100128-050000.gz,62.0
pagecounts-20100128-060000.gz,61.0
pagecounts-20100128-070001.gz,63.0
pagecounts-20100128-080000.gz,66.0
pagecounts-20100128-090000.gz,69.0
pagecounts-20100128-100000.gz,71.0
pagecounts-20100128-110000.gz,71.0
pagecounts-20100128-120000.gz,75.0
pagecounts-20100128-130000.gz,71.0
pagecounts-20100128-140000.gz,69.0
pagecounts-20100128-150000.gz,67.0
pagecounts-20100128-160000.gz,67.0
pagecounts-20100128-170001.gz,64.0
pagecounts-20100128-180000.gz,64.0
pagecounts-20100128-190000.gz,63.0
pagecounts-20100128-200000.gz,63.0
pagecounts-20100128-210000.gz,63.0
pagecounts-20100128-220000.gz,65.0
pagecounts-20100128-230000.gz,67.0
pagecounts-20100129-000000.gz,64.0
pagecounts-20100129-010000.gz,66.0
pagecounts-20100129-020000.gz,65.0
pagecounts-20100129-030001.gz,54.0
pagecounts-20100129-040000.gz,52.0
pagecounts-20100129-050000.gz,51.0
pagecounts-20100129-060000.gz,51.0
pagecounts-20100129-070000.gz,53.0
pagecounts-20100129-080000.gz,60.0
pagecounts-20100129-090000.gz,69.0
pagecounts-20100129-100000.gz,70.0
pagecounts-20100129-110000.gz,69.0
pagecounts-20100129-120000.gz,68.0
pagecounts-20100129-130001.gz,64.0
pagecounts-20100129-140000.gz,66.0
pagecounts-20100129-151000.gz,60.0
pagecounts-20100129-160000.gz,53.0
pagecounts-20100129-170500.gz,58.0
pagecounts-20100129-180000.gz,65.0
pagecounts-20100129-190000.gz,69.0
pagecounts-20100129-200000.gz,69.0
pagecounts-20100129-210000.gz,71.0
pagecounts-20100129-220000.gz,70.0
pagecounts-20100129-230001.gz,68.0
pagecounts-20100130-000000.gz,63.0
pagecounts-20100130-010000.gz,66.0
pagecounts-20100130-020000.gz,63.0
pagecounts-20100130-030000.gz,54.0
pagecounts-20100130-040000.gz,48.0
