ID,url_name
698561,William_Allaire_Shortt
698610,Rosalinda_López_Hernández
698615,Batuk_Vora
698616,Barbara_Baird_Filliter
70008,Atli_Dam
698618,Adel_Zawati
698643,Ramesh_Singh_Arora
698675,George_Caldwell_(politician)
698680,Cathy_Ubels-Veen
698683,Champika_Ranawaka
698691,S'bu_Ndebele
698710,Ramón_Emeterio_Betances
698729,Małgorzata_Kidawa-Błońska
698780,Vasile_Blaga
698798,Ghulam_Muhammad_Lali
70022,Tülay_Babuşcu
698814,Charles_Taylor_(Liberian_politician)
698823,Rubina_Rana
698836,Richard_Williams_(congressman)
698850,Humberto_Dávila_Esquivel
698859,Mark_Roosevelt
698879,Irma_Cornier
698909,Peter_Callanan
698927,Eduardo_Víctor_Haedo
698937,Chen_Yinke
698954,Ad_Kaland
70067,Ange_Diawara
698981,John_Luke_Lowther
698984,Jörgen_Strand
698986,Nehemiah_Green
699000,"Ranbir_Singh_Suri,_Baron_Suri"
699015,Marty_Walsh_(politician)
699029,Suze_Groeneweg
699039,Babagouda_Patil
699062,Władysław_Studnicki
699070,Søren_Jaabæk
699082,Adrian_Amstutz
70090,José_Adriano_Pequito_Rebelo
699087,Marie-Noëlle_Lienemann
699089,Leszek_Sułek
699105,Türkan_Akyol
699107,Carlos_Pagán
699183,Justin_Mikolo-Kinzonzi
699198,P._Radhakrishnan
699210,H._R._Piyasiri
699214,Sergei_Aksenov
699216,Heiko_Gentzel
699227,Arch_W._McFarlane
70172,Frederick_William_Lord
699239,Erwin_Ackerknecht
699241,Sergei_Shamba
699242,Federica_Mogherini
699249,Joseph_Lyman
699264,Konstantin_Muraviev
699266,Charles_Keter
699267,Adam_Jarubas
699270,Bounnhang_Vorachith
699288,Almerindo_Portfolio
699326,Zulfiqar_Mirza
70174,Guthrie_Moir
699331,Domingos_Leite_Pereira
699365,Paa_Grant
699375,Francisco_Ramos_Montaño
699378,Gerhart_Eisler
699385,"Ben_Stoneham,_Baron_Stoneham_of_Droxford"
699407,Napole_Polutélé
699416,Andy_Unanue
699436,Paula_Teixeira_da_Cruz
699454,Henry_Herrick
699456,Vilmos_Pál_Tomcsányi
70189,Anna_Nagy
699485,Benedikt_Ásgeirsson
699514,Liu_Lanbo
699528,Michael_Spindelegger
699550,Aivars_Aksenoks
699581,Iurie_Roșca
699605,Hassan_Rouhani
699610,Plácido_Micó_Abogo
699627,Hiroshi_Mitsuzuka
699652,Heriberto_Vélez
699654,Rıza_Türmen
70208,Keith_Goulet
699656,Ali_Karimli
699675,Björn_Hamilton
699705,Willi_Ankermüller
699706,Sun_Yat-sen
699714,Hans_Victor_von_Unruh
699756,Dario_Herrera
699789,Chafik_Rachadi
699825,Jacqueline_Irles
699828,Gurudas_Dasgupta
699834,Stanisław_Zając
70213,Victorio_Montalvo_Rojas
699843,Joan_Dougherty
699880,Peder_Rasmus_Lyng
699881,Sayed_Muhammad_Fazal_Agha
699886,Jack_Wall_(politician)
699913,Carlos_Lage_Dávila
699918,Haydn_Davies_(politician)
699921,Samuel_Hamersley
699941,A._Deivanayagam
699943,María_Urciel_Castañeda
699947,Tufani_Saroj
7145,Raad_Shallal_al-Ani
70227,Patrick_Doyle_(Irish_politician)
699979,John_J._Feely
699982,Faisal_I_of_Iraq
699996,László_Vigh
700017,Frank_Enfield
700026,David_Charles_Erskine
700050,Ginette_Gamatis
700081,Svetozar_Marković
700144,Francisco_P._Temple
700162,Kåre_Øvregard
700163,John_Young_(Hawaii)
70237,William_Peters_Hepburn
700171,William_S._Jacobsen
700229,Utu_Abe_Malae
700255,Xiao_Jinguang
700262,Tom_Campbell_(California_politician)
700269,Su_Rong
700278,Claude_Guéant
700286,Shakiba
700289,Richard_Anane_Adabor
700324,Javier_Lozano_Alarcón
700339,Elias_Brown
70239,K._R._Arjunan
700342,Kit_Oppus
700346,Anand_Ahirwar
700358,Chandra_Shekhar
700361,Mel_Reynolds
700386,Manny_S._Brown
700408,Chris_Szarka
700436,Date_Munenari
700457,David_Levi_(Italy)
700485,Aharon-Ya'akov_Greenberg
700504,Moody_Awori
70240,Suksaha
700509,Paul_Vachon
700511,Ayad_Allawi
700540,Olivier_Guichard
700545,Kazimierz_Matuszny
700552,Inoe_Perbatasari
700577,Burhan_Shahidi
700606,David_McLaren_(politician)
700611,SBPBK_Satyanarayana_Rao
700653,Alexander_Dzasokhov
700654,W._Harry_Davis
70248,Akwasi_Afrifa
700661,Wang_Shifan
700679,Liang_Guoying
700685,Renee_Chenault-Fattah
700707,Meyrem_Almaci
